Entity,Code,Year,Renewable Source,Terawatt Hours
Africa,,1987,Hydro,49.0583647084245
Africa,,1987,Solar,0
Africa,,1987,Wind,0
Africa,,1987,Others,0.658
Africa,,1988,Hydro,53.5950697571399
Africa,,1988,Solar,0
Africa,,1988,Wind,0
Africa,,1988,Others,0.626
Africa,,1989,Hydro,56.2775699671271
Africa,,1989,Solar,0
Africa,,1989,Wind,0
Africa,,1989,Others,0.617
Africa,,1990,Hydro,57.254659123238
Africa,,1990,Solar,0
Africa,,1990,Wind,0
Africa,,1990,Others,0.732
Africa,,1991,Hydro,60.651488412762
Africa,,1991,Solar,0
Africa,,1991,Wind,0
Africa,,1991,Others,0.738
Africa,,1992,Hydro,57.8602916846068
Africa,,1992,Solar,0
Africa,,1992,Wind,0
Africa,,1992,Others,0.762250000088655
Africa,,1993,Hydro,56.6825072679302
Africa,,1993,Solar,0
Africa,,1993,Wind,0.002
Africa,,1993,Others,0.839700000043806
Africa,,1994,Hydro,57.5960485671106
Africa,,1994,Solar,0
Africa,,1994,Wind,0.0054
Africa,,1994,Others,0.72900000004172
Africa,,1995,Hydro,59.7688768746669
Africa,,1995,Solar,0
Africa,,1995,Wind,0.0063
Africa,,1995,Others,0.912700000022946
Africa,,1996,Hydro,62.316458674204
Africa,,1996,Solar,0
Africa,,1996,Wind,0.0071
Africa,,1996,Others,1.12009308793189
Africa,,1997,Hydro,63.8524975622244
Africa,,1997,Solar,0
Africa,,1997,Wind,0.0072
Africa,,1997,Others,1.22864040821181
Africa,,1998,Hydro,66.6548878792363
Africa,,1998,Solar,0
Africa,,1998,Wind,0.0076
Africa,,1998,Others,1.53054928559653
Africa,,1999,Hydro,70.6842613226394
Africa,,1999,Solar,0
Africa,,1999,Wind,0.0198
Africa,,1999,Others,1.48812479896766
Africa,,2000,Hydro,75.2458166108861
Africa,,2000,Solar,0.0184
Africa,,2000,Wind,0.176
Africa,,2000,Others,2.22442343908982
Africa,,2001,Hydro,80.8641146713105
Africa,,2001,Solar,0.0247
Africa,,2001,Wind,0.41608
Africa,,2001,Others,2.29135263157895
Africa,,2002,Hydro,85.1814681338189
Africa,,2002,Solar,0.0308010101010101
Africa,,2002,Wind,0.444564
Africa,,2002,Others,2.2404
Africa,,2003,Hydro,82.8726014711286
Africa,,2003,Solar,0.0339010101010101
Africa,,2003,Wind,0.541187
Africa,,2003,Others,2.5774
Africa,,2004,Hydro,87.40546921543
Africa,,2004,Solar,0.0391010101010101
Africa,,2004,Wind,0.769317505050505
Africa,,2004,Others,2.93901390728477
Africa,,2005,Hydro,89.065734167962
Africa,,2005,Solar,0.0442010101010101
Africa,,2005,Wind,0.782410111111111
Africa,,2005,Others,2.96888293460925
Africa,,2006,Hydro,92.24055302449
Africa,,2006,Solar,0.0519010101010101
Africa,,2006,Wind,0.852500606060606
Africa,,2006,Others,3.73185862745098
Africa,,2007,Hydro,95.34056187249
Africa,,2007,Solar,0.0636252931010101
Africa,,2007,Wind,1.01629736363636
Africa,,2007,Others,3.10485
Africa,,2008,Hydro,97.1572092505416
Africa,,2008,Solar,0.0849172021010101
Africa,,2008,Wind,1.31218413131313
Africa,,2008,Others,3.232422
Africa,,2009,Hydro,99.761136881974707
Africa,,2009,Solar,0.10786992710101
Africa,,2009,Wind,1.58988193939394
Africa,,2009,Others,3.52372219
Africa,,2010,Hydro,107.426832620947
Africa,,2010,Solar,0.22386475010101
Africa,,2010,Wind,2.28414643434343
Africa,,2010,Others,3.788542064
Africa,,2011,Hydro,110.452821026865
Africa,,2011,Solar,0.46053030110101
Africa,,2011,Wind,2.53747593939394
Africa,,2011,Others,3.891561611
Africa,,2012,Hydro,110.95230022523
Africa,,2012,Solar,0.553427126280338
Africa,,2012,Wind,2.96169624040404
Africa,,2012,Others,4.050949862
Africa,,2013,Hydro,117.672846409979
Africa,,2013,Solar,0.82428314110101
Africa,,2013,Wind,3.5597563020202
Africa,,2013,Others,4.38662584849727
Africa,,2014,Hydro,123.757794762619
Africa,,2014,Solar,1.82625588410101
Africa,,2014,Wind,5.15716761867677
Africa,,2014,Others,5.50354968074189
Africa,,2015,Hydro,120.270851995
Africa,,2015,Solar,3.568277276
Africa,,2015,Wind,8.88708223954545
Africa,,2015,Others,7.06791974251621
Africa,,2016,Hydro,116.68881497412
Africa,,2016,Solar,4.91132132668317
Africa,,2016,Wind,11.3047001777414
Africa,,2016,Others,7.17597491283842
Africa,,2017,Hydro,124.578162878692
Africa,,2017,Solar,6.61057145845309
Africa,,2017,Wind,12.7959088357325
Africa,,2017,Others,7.49182538832269
Africa,,2018,Hydro,132.840769336531
Africa,,2018,Solar,9.02908899919936
Africa,,2018,Wind,14.6859395177227
Africa,,2018,Others,8.1610228862498
Algeria,DZA,1965,Hydro,0.3933266
Algeria,DZA,1965,Solar,0
Algeria,DZA,1965,Wind,0
Algeria,DZA,1965,Others,0
Algeria,DZA,1966,Hydro,0.3623908
Algeria,DZA,1966,Solar,0
Algeria,DZA,1966,Wind,0
Algeria,DZA,1966,Others,0
Algeria,DZA,1967,Hydro,0.4065848
Algeria,DZA,1967,Solar,0
Algeria,DZA,1967,Wind,0
Algeria,DZA,1967,Others,0
Algeria,DZA,1968,Hydro,0.5568444
Algeria,DZA,1968,Solar,0
Algeria,DZA,1968,Wind,0
Algeria,DZA,1968,Others,0
Algeria,DZA,1969,Hydro,0.3623908
Algeria,DZA,1969,Solar,0
Algeria,DZA,1969,Wind,0
Algeria,DZA,1969,Others,0
Algeria,DZA,1970,Hydro,0.5833608
Algeria,DZA,1970,Solar,0
Algeria,DZA,1970,Wind,0
Algeria,DZA,1970,Others,0
Algeria,DZA,1971,Hydro,0.3270356
Algeria,DZA,1971,Solar,0
Algeria,DZA,1971,Wind,0
Algeria,DZA,1971,Others,0
Algeria,DZA,1972,Hydro,0.4993922
Algeria,DZA,1972,Solar,0
Algeria,DZA,1972,Wind,0
Algeria,DZA,1972,Others,0
Algeria,DZA,1973,Hydro,0.7557174
Algeria,DZA,1973,Solar,0
Algeria,DZA,1973,Wind,0
Algeria,DZA,1973,Others,0
Algeria,DZA,1974,Hydro,0.4993922
Algeria,DZA,1974,Solar,0
Algeria,DZA,1974,Wind,0
Algeria,DZA,1974,Others,0
Algeria,DZA,1975,Hydro,0.3270356
Algeria,DZA,1975,Solar,0
Algeria,DZA,1975,Wind,0
Algeria,DZA,1975,Others,0
Algeria,DZA,1976,Hydro,0.3844878
Algeria,DZA,1976,Solar,0
Algeria,DZA,1976,Wind,0
Algeria,DZA,1976,Others,0
Algeria,DZA,1977,Hydro,0.2695834
Algeria,DZA,1977,Solar,0
Algeria,DZA,1977,Wind,0
Algeria,DZA,1977,Others,0
Algeria,DZA,1978,Hydro,0.2563252
Algeria,DZA,1978,Solar,0
Algeria,DZA,1978,Wind,0
Algeria,DZA,1978,Others,0
Algeria,DZA,1979,Hydro,0.2916804
Algeria,DZA,1979,Solar,0
Algeria,DZA,1979,Wind,0
Algeria,DZA,1979,Others,0
Algeria,DZA,1980,Hydro,0.2563252
Algeria,DZA,1980,Solar,0
Algeria,DZA,1980,Wind,0
Algeria,DZA,1980,Others,0
Algeria,DZA,1981,Hydro,0.3623908
Algeria,DZA,1981,Solar,0
Algeria,DZA,1981,Wind,0
Algeria,DZA,1981,Others,0
Algeria,DZA,1982,Hydro,0.4772952
Algeria,DZA,1982,Solar,0
Algeria,DZA,1982,Wind,0
Algeria,DZA,1982,Others,0
Algeria,DZA,1983,Hydro,0.2342282
Algeria,DZA,1983,Solar,0
Algeria,DZA,1983,Wind,0
Algeria,DZA,1983,Others,0
Algeria,DZA,1984,Hydro,0.4551982
Algeria,DZA,1984,Solar,0
Algeria,DZA,1984,Wind,0
Algeria,DZA,1984,Others,0
Algeria,DZA,1985,Hydro,0.646
Algeria,DZA,1985,Solar,0
Algeria,DZA,1985,Wind,0
Algeria,DZA,1985,Others,0
Algeria,DZA,1986,Hydro,0.25
Algeria,DZA,1986,Solar,0
Algeria,DZA,1986,Wind,0
Algeria,DZA,1986,Others,0
Algeria,DZA,1987,Hydro,0.499
Algeria,DZA,1987,Solar,0
Algeria,DZA,1987,Wind,0
Algeria,DZA,1987,Others,0
Algeria,DZA,1988,Hydro,0.183
Algeria,DZA,1988,Solar,0
Algeria,DZA,1988,Wind,0
Algeria,DZA,1988,Others,0
Algeria,DZA,1989,Hydro,0.226
Algeria,DZA,1989,Solar,0
Algeria,DZA,1989,Wind,0
Algeria,DZA,1989,Others,0
Algeria,DZA,1990,Hydro,0.135
Algeria,DZA,1990,Solar,0
Algeria,DZA,1990,Wind,0
Algeria,DZA,1990,Others,0
Algeria,DZA,1991,Hydro,0.293
Algeria,DZA,1991,Solar,0
Algeria,DZA,1991,Wind,0
Algeria,DZA,1991,Others,0
Algeria,DZA,1992,Hydro,0.199
Algeria,DZA,1992,Solar,0
Algeria,DZA,1992,Wind,0
Algeria,DZA,1992,Others,0
Algeria,DZA,1993,Hydro,0.353
Algeria,DZA,1993,Solar,0
Algeria,DZA,1993,Wind,0
Algeria,DZA,1993,Others,0
Algeria,DZA,1994,Hydro,0.166
Algeria,DZA,1994,Solar,0
Algeria,DZA,1994,Wind,0
Algeria,DZA,1994,Others,0
Algeria,DZA,1995,Hydro,0.193
Algeria,DZA,1995,Solar,0
Algeria,DZA,1995,Wind,0
Algeria,DZA,1995,Others,0
Algeria,DZA,1996,Hydro,0.135
Algeria,DZA,1996,Solar,0
Algeria,DZA,1996,Wind,0
Algeria,DZA,1996,Others,0
Algeria,DZA,1997,Hydro,0.075
Algeria,DZA,1997,Solar,0
Algeria,DZA,1997,Wind,0
Algeria,DZA,1997,Others,0
Algeria,DZA,1998,Hydro,0.215
Algeria,DZA,1998,Solar,0
Algeria,DZA,1998,Wind,0
Algeria,DZA,1998,Others,0
Algeria,DZA,1999,Hydro,0.203
Algeria,DZA,1999,Solar,0
Algeria,DZA,1999,Wind,0
Algeria,DZA,1999,Others,0
Algeria,DZA,2000,Hydro,0.054
Algeria,DZA,2000,Solar,0
Algeria,DZA,2000,Wind,0
Algeria,DZA,2000,Others,0
Algeria,DZA,2001,Hydro,0.069
Algeria,DZA,2001,Solar,0
Algeria,DZA,2001,Wind,0
Algeria,DZA,2001,Others,0
Algeria,DZA,2002,Hydro,0.057
Algeria,DZA,2002,Solar,0
Algeria,DZA,2002,Wind,0
Algeria,DZA,2002,Others,0
Algeria,DZA,2003,Hydro,0.265
Algeria,DZA,2003,Solar,0
Algeria,DZA,2003,Wind,0
Algeria,DZA,2003,Others,0
Algeria,DZA,2004,Hydro,0.251
Algeria,DZA,2004,Solar,0
Algeria,DZA,2004,Wind,0
Algeria,DZA,2004,Others,0
Algeria,DZA,2005,Hydro,0.5553
Algeria,DZA,2005,Solar,0
Algeria,DZA,2005,Wind,0
Algeria,DZA,2005,Others,0
Algeria,DZA,2006,Hydro,0.2176
Algeria,DZA,2006,Solar,0
Algeria,DZA,2006,Wind,0
Algeria,DZA,2006,Others,0
Algeria,DZA,2007,Hydro,0.226
Algeria,DZA,2007,Solar,0
Algeria,DZA,2007,Wind,0
Algeria,DZA,2007,Others,0
Algeria,DZA,2008,Hydro,0.283
Algeria,DZA,2008,Solar,0
Algeria,DZA,2008,Wind,0
Algeria,DZA,2008,Others,0
Algeria,DZA,2009,Hydro,0.342
Algeria,DZA,2009,Solar,0
Algeria,DZA,2009,Wind,0
Algeria,DZA,2009,Others,0
Algeria,DZA,2010,Hydro,0.173
Algeria,DZA,2010,Solar,0.0091
Algeria,DZA,2010,Wind,0
Algeria,DZA,2010,Others,0
Algeria,DZA,2011,Hydro,0.378
Algeria,DZA,2011,Solar,0.01811875
Algeria,DZA,2011,Wind,0
Algeria,DZA,2011,Others,0
Algeria,DZA,2012,Hydro,0.389
Algeria,DZA,2012,Solar,0.0267230136986301
Algeria,DZA,2012,Wind,0
Algeria,DZA,2012,Others,0
Algeria,DZA,2013,Hydro,0.099
Algeria,DZA,2013,Solar,0.0286
Algeria,DZA,2013,Wind,0
Algeria,DZA,2013,Others,0
Algeria,DZA,2014,Hydro,0.193
Algeria,DZA,2014,Solar,0.06
Algeria,DZA,2014,Wind,0.001
Algeria,DZA,2014,Others,0
Algeria,DZA,2015,Hydro,0.145
Algeria,DZA,2015,Solar,0.058
Algeria,DZA,2015,Wind,0.019
Algeria,DZA,2015,Others,0
Algeria,DZA,2016,Hydro,0.072
Algeria,DZA,2016,Solar,0.245
Algeria,DZA,2016,Wind,0.0190520547945205
Algeria,DZA,2016,Others,0
Algeria,DZA,2017,Hydro,0.056
Algeria,DZA,2017,Solar,0.504
Algeria,DZA,2017,Wind,0.019
Algeria,DZA,2017,Others,0
Algeria,DZA,2018,Hydro,0.117
Algeria,DZA,2018,Solar,0.603
Algeria,DZA,2018,Wind,0.01
Algeria,DZA,2018,Others,0
Argentina,ARG,1965,Hydro,1.2109156
Argentina,ARG,1965,Solar,0
Argentina,ARG,1965,Wind,0
Argentina,ARG,1965,Others,0
Argentina,ARG,1966,Hydro,1.2285932
Argentina,ARG,1966,Solar,0
Argentina,ARG,1966,Wind,0
Argentina,ARG,1966,Others,0
Argentina,ARG,1967,Hydro,1.2551096
Argentina,ARG,1967,Solar,0
Argentina,ARG,1967,Wind,0
Argentina,ARG,1967,Others,0
Argentina,ARG,1968,Hydro,1.480499
Argentina,ARG,1968,Solar,0
Argentina,ARG,1968,Wind,0
Argentina,ARG,1968,Others,0
Argentina,ARG,1969,Hydro,1.32582
Argentina,ARG,1969,Solar,0
Argentina,ARG,1969,Wind,0
Argentina,ARG,1969,Others,0
Argentina,ARG,1970,Hydro,1.5158542
Argentina,ARG,1970,Solar,0
Argentina,ARG,1970,Wind,0
Argentina,ARG,1970,Others,0.0475409912536443
Argentina,ARG,1971,Hydro,1.524693
Argentina,ARG,1971,Solar,0
Argentina,ARG,1971,Wind,0
Argentina,ARG,1971,Others,0.0498646137026239
Argentina,ARG,1972,Hydro,1.4849184
Argentina,ARG,1972,Solar,0
Argentina,ARG,1972,Wind,0
Argentina,ARG,1972,Others,0.0643531519274376
Argentina,ARG,1973,Hydro,2.960998
Argentina,ARG,1973,Solar,0
Argentina,ARG,1973,Wind,0
Argentina,ARG,1973,Others,0.0490424344023324
Argentina,ARG,1974,Hydro,4.971825
Argentina,ARG,1974,Solar,0
Argentina,ARG,1974,Wind,0
Argentina,ARG,1974,Others,0.0500676714285714
Argentina,ARG,1975,Hydro,5.1353428
Argentina,ARG,1975,Solar,0
Argentina,ARG,1975,Wind,0
Argentina,ARG,1975,Others,0.054922641509434
Argentina,ARG,1976,Hydro,4.9408892
Argentina,ARG,1976,Solar,0
Argentina,ARG,1976,Wind,0
Argentina,ARG,1976,Others,0.0502027915451895
Argentina,ARG,1977,Hydro,5.7054454
Argentina,ARG,1977,Solar,0
Argentina,ARG,1977,Wind,0
Argentina,ARG,1977,Others,0.0538551078167116
Argentina,ARG,1978,Hydro,7.6632396
Argentina,ARG,1978,Solar,0
Argentina,ARG,1978,Wind,0
Argentina,ARG,1978,Others,0.0541366620879121
Argentina,ARG,1979,Hydro,10.5358496
Argentina,ARG,1979,Solar,0
Argentina,ARG,1979,Wind,0
Argentina,ARG,1979,Others,0.0843937633928571
Argentina,ARG,1980,Hydro,14.9729272
Argentina,ARG,1980,Solar,0
Argentina,ARG,1980,Wind,0
Argentina,ARG,1980,Others,0.0862515679442509
Argentina,ARG,1981,Hydro,14.5000514
Argentina,ARG,1981,Solar,0
Argentina,ARG,1981,Wind,0
Argentina,ARG,1981,Others,0.0747225
Argentina,ARG,1982,Hydro,17.4964046
Argentina,ARG,1982,Solar,0
Argentina,ARG,1982,Wind,0
Argentina,ARG,1982,Others,0.095912465437788
Argentina,ARG,1983,Hydro,18.207928
Argentina,ARG,1983,Solar,0
Argentina,ARG,1983,Wind,0
Argentina,ARG,1983,Others,0.137314784053156
Argentina,ARG,1984,Hydro,19.6486524
Argentina,ARG,1984,Solar,0
Argentina,ARG,1984,Wind,0
Argentina,ARG,1984,Others,0.0973927918118467
Argentina,ARG,1985,Hydro,20.6562756
Argentina,ARG,1985,Solar,0
Argentina,ARG,1985,Wind,0
Argentina,ARG,1985,Others,0.103321614285714
Argentina,ARG,1986,Hydro,21.0085052
Argentina,ARG,1986,Solar,0
Argentina,ARG,1986,Wind,0
Argentina,ARG,1986,Others,0.107078920807453
Argentina,ARG,1987,Hydro,21.8132882
Argentina,ARG,1987,Solar,0
Argentina,ARG,1987,Wind,0
Argentina,ARG,1987,Others,0.108156823308271
Argentina,ARG,1988,Hydro,15.5497744
Argentina,ARG,1988,Solar,0
Argentina,ARG,1988,Wind,0
Argentina,ARG,1988,Others,0.121116047351525
Argentina,ARG,1989,Hydro,12.9769104
Argentina,ARG,1989,Solar,0
Argentina,ARG,1989,Wind,0
Argentina,ARG,1989,Others,0.119376907894737
Argentina,ARG,1990,Hydro,17.9031534
Argentina,ARG,1990,Solar,0
Argentina,ARG,1990,Wind,0
Argentina,ARG,1990,Others,0.106763283730159
Argentina,ARG,1991,Hydro,16.1993292
Argentina,ARG,1991,Solar,0
Argentina,ARG,1991,Wind,0
Argentina,ARG,1991,Others,0.0996004043126685
Argentina,ARG,1992,Hydro,19.7790505050503
Argentina,ARG,1992,Solar,0
Argentina,ARG,1992,Wind,0
Argentina,ARG,1992,Others,0.101865494505494
Argentina,ARG,1993,Hydro,23.5554747474745
Argentina,ARG,1993,Solar,0
Argentina,ARG,1993,Wind,0
Argentina,ARG,1993,Others,0.107438402777778
Argentina,ARG,1994,Hydro,27.9727878787875
Argentina,ARG,1994,Solar,0
Argentina,ARG,1994,Wind,0
Argentina,ARG,1994,Others,0.119290037593985
Argentina,ARG,1995,Hydro,28.4581212121209
Argentina,ARG,1995,Solar,0
Argentina,ARG,1995,Wind,0
Argentina,ARG,1995,Others,0.115592457298137
Argentina,ARG,1996,Hydro,25.9451818181815
Argentina,ARG,1996,Solar,0
Argentina,ARG,1996,Wind,0.009618
Argentina,ARG,1996,Others,0.351397492063492
Argentina,ARG,1997,Hydro,33.0299595959592
Argentina,ARG,1997,Solar,0
Argentina,ARG,1997,Wind,0.014592
Argentina,ARG,1997,Others,0.44563205
Argentina,ARG,1998,Hydro,32.4217878787875
Argentina,ARG,1998,Solar,1.7e-5
Argentina,ARG,1998,Wind,0.032541
Argentina,ARG,1998,Others,0.463881203007519
Argentina,ARG,1999,Hydro,26.5300707070704
Argentina,ARG,1999,Solar,2.6e-5
Argentina,ARG,1999,Wind,0.034781
Argentina,ARG,1999,Others,0.650455142857143
Argentina,ARG,2000,Hydro,34.0340101010097
Argentina,ARG,2000,Solar,3.6e-5
Argentina,ARG,2000,Wind,0.034758
Argentina,ARG,2000,Others,0.67501431010453
Argentina,ARG,2001,Hydro,41.9032626262621
Argentina,ARG,2001,Solar,4.3e-5
Argentina,ARG,2001,Wind,0.049361
Argentina,ARG,2001,Others,0.609325850253807
Argentina,ARG,2002,Hydro,41.46705050505
Argentina,ARG,2002,Solar,4.7e-5
Argentina,ARG,2002,Wind,0.073405
Argentina,ARG,2002,Others,0.850248637873754
Argentina,ARG,2003,Hydro,39.0800808080803
Argentina,ARG,2003,Solar,6.5e-5
Argentina,ARG,2003,Wind,0.077954
Argentina,ARG,2003,Others,1.01407985835694
Argentina,ARG,2004,Hydro,35.4028787878784
Argentina,ARG,2004,Solar,7e-5
Argentina,ARG,2004,Wind,0.072446
Argentina,ARG,2004,Others,0.900295090287307
Argentina,ARG,2005,Hydro,39.3500909090905
Argentina,ARG,2005,Solar,8.1e-5
Argentina,ARG,2005,Wind,0.071719665
Argentina,ARG,2005,Others,1.07407290085825
Argentina,ARG,2006,Hydro,43.624
Argentina,ARG,2006,Solar,9e-5
Argentina,ARG,2006,Wind,0.06964
Argentina,ARG,2006,Others,1.56741031456089
Argentina,ARG,2007,Hydro,37.741
Argentina,ARG,2007,Solar,1.089e-4
Argentina,ARG,2007,Wind,0.061593
Argentina,ARG,2007,Others,1.57570869577978
Argentina,ARG,2008,Hydro,37.199
Argentina,ARG,2008,Solar,1.437e-4
Argentina,ARG,2008,Wind,0.041951078
Argentina,ARG,2008,Others,1.69353638367225
Argentina,ARG,2009,Hydro,40.783
Argentina,ARG,2009,Solar,7.6084e-5
Argentina,ARG,2009,Wind,0.0368315286
Argentina,ARG,2009,Others,1.72875616184549
Argentina,ARG,2010,Hydro,40.543
Argentina,ARG,2010,Solar,8.589e-5
Argentina,ARG,2010,Wind,0.0253516062
Argentina,ARG,2010,Others,2.01325481034589
Argentina,ARG,2011,Hydro,39.641
Argentina,ARG,2011,Solar,0.001614
Argentina,ARG,2011,Wind,0.02659055
Argentina,ARG,2011,Others,2.19020582803824
Argentina,ARG,2012,Hydro,36.876
Argentina,ARG,2012,Solar,0.0081729668
Argentina,ARG,2012,Wind,0.369861999333
Argentina,ARG,2012,Others,2.4538216104798
Argentina,ARG,2013,Hydro,40.7
Argentina,ARG,2013,Solar,0.015074079
Argentina,ARG,2013,Wind,0.453354876
Argentina,ARG,2013,Others,2.45735005010909
Argentina,ARG,2014,Hydro,40.864
Argentina,ARG,2014,Solar,0.015944
Argentina,ARG,2014,Wind,0.619491
Argentina,ARG,2014,Others,2.30202525205827
Argentina,ARG,2015,Hydro,41.7709
Argentina,ARG,2015,Solar,0.014683
Argentina,ARG,2015,Wind,0.593334963
Argentina,ARG,2015,Others,2.37825859784431
Argentina,ARG,2016,Hydro,38.2543932713468
Argentina,ARG,2016,Solar,0.014273
Argentina,ARG,2016,Wind,0.547359
Argentina,ARG,2016,Others,1.96340864256076
Argentina,ARG,2017,Hydro,41.5429785772894
Argentina,ARG,2017,Solar,0.016417
Argentina,ARG,2017,Wind,0.611567
Argentina,ARG,2017,Others,2.38365450770783
Argentina,ARG,2018,Hydro,41.6494545898936
Argentina,ARG,2018,Solar,0.108128528
Argentina,ARG,2018,Wind,1.412699784
Argentina,ARG,2018,Others,2.29693941005605
Asia Pacific,,1965,Hydro,150.557596289096
Asia Pacific,,1965,Solar,0
Asia Pacific,,1965,Wind,0
Asia Pacific,,1965,Others,1.644
Asia Pacific,,1966,Hydro,163.387781289096
Asia Pacific,,1966,Solar,0
Asia Pacific,,1966,Wind,0
Asia Pacific,,1966,Others,1.643
Asia Pacific,,1967,Hydro,154.022797489096
Asia Pacific,,1967,Solar,0
Asia Pacific,,1967,Wind,0
Asia Pacific,,1967,Others,1.424
Asia Pacific,,1968,Hydro,164.446862089096
Asia Pacific,,1968,Solar,0
Asia Pacific,,1968,Wind,0
Asia Pacific,,1968,Others,1.577
Asia Pacific,,1969,Hydro,175.383321289096
Asia Pacific,,1969,Solar,0
Asia Pacific,,1969,Wind,0
Asia Pacific,,1969,Others,1.608
Asia Pacific,,1970,Hydro,179.118672089096
Asia Pacific,,1970,Solar,0
Asia Pacific,,1970,Wind,0
Asia Pacific,,1970,Others,1.776704
Asia Pacific,,1971,Hydro,194.691911889096
Asia Pacific,,1971,Solar,0
Asia Pacific,,1971,Wind,0
Asia Pacific,,1971,Others,1.754611
Asia Pacific,,1972,Hydro,203.609022489096
Asia Pacific,,1972,Solar,0
Asia Pacific,,1972,Wind,0
Asia Pacific,,1972,Others,1.785591
Asia Pacific,,1973,Hydro,197.179032289096
Asia Pacific,,1973,Solar,0
Asia Pacific,,1973,Wind,0
Asia Pacific,,1973,Others,1.834998
Asia Pacific,,1974,Hydro,215.163364177984
Asia Pacific,,1974,Solar,0
Asia Pacific,,1974,Wind,0
Asia Pacific,,1974,Others,2.49626910526317
Asia Pacific,,1975,Hydro,229.481713056586
Asia Pacific,,1975,Solar,0
Asia Pacific,,1975,Wind,0
Asia Pacific,,1975,Others,2.65433436842106
Asia Pacific,,1976,Hydro,232.71207419194
Asia Pacific,,1976,Solar,0
Asia Pacific,,1976,Wind,0
Asia Pacific,,1976,Others,2.58706457894738
Asia Pacific,,1977,Hydro,225.823647313152
Asia Pacific,,1977,Solar,0
Asia Pacific,,1977,Wind,0
Asia Pacific,,1977,Others,2.62244347368422
Asia Pacific,,1978,Hydro,235.116742452546
Asia Pacific,,1978,Solar,0
Asia Pacific,,1978,Wind,0
Asia Pacific,,1978,Others,2.91747136842107
Asia Pacific,,1979,Hydro,255.172753743461
Asia Pacific,,1979,Solar,0
Asia Pacific,,1979,Wind,0
Asia Pacific,,1979,Others,3.71292042105264
Asia Pacific,,1980,Hydro,271.622590605311
Asia Pacific,,1980,Solar,0
Asia Pacific,,1980,Wind,0
Asia Pacific,,1980,Others,5.17343315789475
Asia Pacific,,1981,Hydro,288.896901745949
Asia Pacific,,1981,Solar,0
Asia Pacific,,1981,Wind,0
Asia Pacific,,1981,Others,7.07196542105264
Asia Pacific,,1982,Hydro,279.799084984179
Asia Pacific,,1982,Solar,0
Asia Pacific,,1982,Wind,0
Asia Pacific,,1982,Others,15.9518942631579
Asia Pacific,,1983,Hydro,300.647127486434
Asia Pacific,,1983,Solar,0
Asia Pacific,,1983,Wind,0
Asia Pacific,,1983,Others,18.0678064210526
